Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Cdv3,13470,14308,10195,10439,18119,11485,12282,12544,12848,10390
5830418P13Rik,7,26,10,17,0,1,5,16,2,25
Bfsp2,6,31,4,27,86,10,6,29,35,60
Tmem108,65,27,66,34,192,64,41,42,52,68
4932413F04Rik,0,0,0,0,0,0,0,0,0,0
Gm29154,0,0,0,0,0,0,0,0,0,0
Gm33054,0,0,0,0,0,0,0,0,0,0
Nphp3,1313,1331,805,916,720,1006,861,849,1369,957
Uba5,5108,4856,3648,3424,5040,3258,4276,4587,4757,4409
Acad11,10753,10952,8493,7196,9871,6779,7903,8514,8753,7203
Ackr4,45,89,142,202,129,115,200,128,254,274
Dnajc13,10287,9700,6401,5706,8024,7162,7647,7571,8454,6813
Acpp,3838,3574,1785,1524,1810,1732,2186,3447,3265,2403
Gm28548,2,7,0,0,0,0,2,8,0,2
Mir2136,0,0,0,0,0,0,0,0,0,0
Cpne4,4,26,10,2,22,10,10,8,70,80
Mrpl3,4286,4669,3001,3204,5741,3476,3746,3759,4217,3408
